LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
23,43:01.023,-,-,173.275,1:44.074,16.0,1,1,C. Leclerc,PREMA Racing,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:02.592,1.569,-,173.17,1:47.043,7.0,2,5,L. Ghiotto,RUSSIAN TIME,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:03.921,2.898,1.329,173.081,1:47.175,8.0,3,9,O. Rowland,DAMS,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:08.598,7.575,4.677,172.768,1:47.760,14.0,4,10,N. Latifi,DAMS,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:10.985,9.962,2.387,172.609,1:46.998,7.0,5,15,J. King,MP Motorsport,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:11.888,10.865,0.903,172.549,1:47.632,10.0,6,18,N. de Vries,Rapax,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:12.405,11.382,0.517,172.514,1:47.821,8.0,7,8,A. Albon,ART Grand Prix,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:19.976,18.953,7.571,172.012,1:45.891,11.0,8,6,A. Markelov,RUSSIAN TIME,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:20.173,19.150,0.197,171.999,1:47.868,13.0,9,19,J. Cecotto,Rapax,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:21.006,19.983,0.833,171.944,1:46.884,7.0,10,2,A. Fuoco,PREMA Racing,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:29.852,28.829,8.846,171.361,1:48.247,10.0,11,17,S. Canamasas,Trident,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:32.210,31.187,2.358,171.206,1:48.033,8.0,12,3,L. Delétraz,Racing Engineering,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:34.645,33.622,2.435,171.047,1:48.684,8.0,13,4,G. Malja,Racing Engineering,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:35.415,34.392,0.770,170.996,1:45.961,12.0,14,7,N. Matsushita,ART Grand Prix,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:36.924,35.901,1.509,170.898,1:47.837,11.0,15,12,S. Coletti,Campos Racing,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:42.618,41.595,5.694,170.527,1:48.576,8.0,16,16,N. Jeffri,Trident,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,43:53.052,52.029,10.434,169.851,1:46.512,13.0,17,21,S. Gelael,Pertamina Arden,Sakhir,Sprint Race,,Round 1 ,2017-04-16
23,44:09.593,68.570,16.541,168.791,1:43.950,22.0,18,14,S. Sette Câmara,MP Motorsport,Sakhir,Sprint Race,,Round 1 ,2017-04-16
32,58:18.977,-,-,177.931,1:46.038,24.0,1,6,A. Markelov,RUSSIAN TIME,Sakhir,Feature Race,,Round 1 ,2017-04-16
