LAPS,TIME,GAP,INT.,KPH,BEST,LAP,POS,CAR,PILOT NAME,TEAM,CIRCUIT,TYPE,LAP SET ON,ROUND,DATE
32,1:01:10.926,-,-,169.596,1:47.689,17.0,1,5,T. Pourchaire,ART Grand Prix,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:01:30.592,19.666,19.666,168.692,1:49.318,4.0,2,25,R. Boschung,Campos Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:01:42.513,31.587,11.921,168.149,1:47.932,14.0,3,3,Z. Maloney,Carlin,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:01:49.715,38.789,7.202,167.823,1:48.383,14.0,4,24,K. Maini,Campos Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:01:54.008,43.082,4.293,167.629,1:47.321,18.0,5,22,R. Verschoor,Van Amersfoort Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:01:55.268,44.342,1.260,167.572,1:48.710,13.0,6,12,A. Leclerc,DAMS,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:01:57.382,46.456,2.114,167.477,1:49.521,14.0,7,10,I. Hadjar,Hitech Pulse-Eight,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:01.741,50.815,4.359,167.281,1:48.935,14.0,8,11,A. Iwasa,DAMS,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:02.322,51.396,0.581,167.254,1:48.986,13.0,9,4,E. Fittipaldi,Carlin,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:02.763,51.837,0.441,167.235,1:49.249,15.0,10,23,J. Correa,Van Amersfoort Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:03.865,52.939,1.102,167.185,1:49.725,16.0,11,16,R. Nissany,PHM Racing by Charouz,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:04.255,53.329,0.390,167.168,1:48.835,17.0,12,9,J. Crawford,Hitech Pulse-Eight,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:04.879,53.953,0.624,167.14,1:48.712,21.0,13,21,C. Novalak,Trident,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:10.665,59.739,5.786,166.88,1:48.383,13.0,14,8,O. Bearman,PREMA Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:11.894,60.968,1.229,166.825,1:50.006,16.0,15,15,A. Cordeel,Invicta Virtuosi Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:16.130,65.204,4.236,166.636,1:48.516,12.0,16,14,J. Doohan,Invicta Virtuosi Racing,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:17.389,66.463,1.259,166.58,1:49.079,14.0,17,2,J. Daruvala,MP Motorsport,Sakhir,Feature Race,,Round 1 ,2023-03-05
32,1:02:44.161,93.235,26.772,165.395,1:48.088,19.0,18,17,B. Benavides,PHM Racing by Charouz,Sakhir,Feature Race,,Round 1 ,2023-03-05
23,41:50.597,-,-,178.136,1:47.857,4.0,1,25,R. Boschung,Campos Racing,Sakhir,Sprint Race,,Round 1 ,2023-03-05
